id,key,value,type
244075947,ADM1,18,gns
244075947,DSG,ADM2,gns
244075947,UFI,-1896788,gns
244075947,UNI,10069367,gns
244075947,continent,Asia,is_in
244075947,name,安顺市,regular
244075947,de,Anshun,name
244075947,en,Anshun,name
244075947,fr,Anshun,name
244075947,ja,安順市,name
244075947,ru,Аньшунь,name
244075947,uk,Аньшунь,name
244075947,vi,An Thuận,name
244075947,zh,安顺市,name
244075947,zh_pinyin,Ānshùn Shì,name
244075947,place,city,regular
244075947,wikidata,Q486149,regular
244075947,wikipedia,zh:安顺市,regular
244081355,ADM1,18,gns
244081355,DSG,ADM3,gns
244081355,UFI,-1920997,gns
244081355,UNI,10069327,gns
244081355,name,平坝县,regular
244081355,vi,Bình Bá,name
244081355,zh,平坝县,name
244081355,zh_pinyin,Pingba Xian,name
244081355,place,county,regular
244083152,created_by,dkt_GNS-import-1,regular
244083152,ADM1,18,gns
244083152,DSG,ADM3,gns
244083152,UFI,-1938975,gns
244083152,UNI,10069280,gns
244083152,name,织金县,regular
244083152,vi,Chức Kim,name
244083152,zh,织金县,name
244083152,zh_pinyin,Zhijin Xian,name
244083152,place,county,regular
265289125,created_by,JOSM,regular
265289160,created_by,JOSM,regular
265308050,created_by,JOSM,regular
265308254,created_by,JOSM,regular
265308275,created_by,JOSM,regular
265308296,created_by,JOSM,regular
265308318,created_by,JOSM,regular
265308424,created_by,JOSM,regular
265308445,created_by,JOSM,regular
265308466,created_by,JOSM,regular
265308510,created_by,JOSM,regular
265308530,created_by,JOSM,regular
265308552,created_by,JOSM,regular
265310182,created_by,JOSM,regular
265310202,created_by,JOSM,regular
265310288,created_by,JOSM,regular
265310308,created_by,JOSM,regular
265310328,created_by,JOSM,regular
265310353,created_by,JOSM,regular
265310373,created_by,JOSM,regular
265310394,created_by,JOSM,regular
265310483,created_by,JOSM,regular
265310505,created_by,JOSM,regular
265310525,created_by,JOSM,regular
265310545,created_by,JOSM,regular
265310566,created_by,JOSM,regular
265310586,created_by,JOSM,regular
265310607,created_by,JOSM,regular
265310627,created_by,JOSM,regular
265310647,created_by,JOSM,regular
265310669,created_by,JOSM,regular
265310689,created_by,JOSM,regular
265310710,created_by,JOSM,regular
265310731,created_by,JOSM,regular
265310781,created_by,JOSM,regular
265310801,created_by,JOSM,regular
265315544,created_by,JOSM,regular
265315574,created_by,JOSM,regular
265315594,created_by,JOSM,regular
265315614,created_by,JOSM,regular
265315634,created_by,JOSM,regular
265315654,created_by,JOSM,regular
265315739,created_by,JOSM,regular
265315761,created_by,JOSM,regular
265315781,created_by,JOSM,regular
265315801,created_by,JOSM,regular
265316049,created_by,JOSM,regular
265316076,created_by,JOSM,regular
265316097,created_by,JOSM,regular
265316117,created_by,JOSM,regular
265316144,created_by,JOSM,regular
265316187,created_by,JOSM,regular
265316246,created_by,JOSM,regular
265316287,created_by,JOSM,regular
265316327,created_by,JOSM,regular
265316360,created_by,JOSM,regular
265316389,created_by,JOSM,regular
265316419,created_by,JOSM,regular
265316448,created_by,JOSM,regular
265316515,created_by,JOSM,regular
265316544,created_by,JOSM,regular
265316574,created_by,JOSM,regular
265316603,created_by,JOSM,regular
265316624,created_by,JOSM,regular
265316645,created_by,JOSM,regular
265316668,created_by,JOSM,regular
265316693,created_by,JOSM,regular
265316720,created_by,JOSM,regular
265316746,created_by,JOSM,regular
265316770,created_by,JOSM,regular
265316790,created_by,JOSM,regular
265316813,created_by,JOSM,regular
265316836,created_by,JOSM,regular
265317456,created_by,JOSM,regular
265317485,created_by,JOSM,regular
265317514,created_by,JOSM,regular
265317543,created_by,JOSM,regular
265317572,created_by,JOSM,regular
265317599,created_by,JOSM,regular
265317627,created_by,JOSM,regular
265317821,created_by,JOSM,regular
265317881,created_by,JOSM,regular
265318038,created_by,JOSM,regular
